"","autoQC","numGenes","QC","shapiro_W_neg","shapiro_p_neg","shapiro_W_pos","shapiro_p_pos","#_neg","ratio_neg","#_0","ratio_0","#_pos","ratio_pos","95%","99%","1_SD_neg","2_SD_neg","3_SD_neg","4_SD_neg","1_SD_pos","2_SD_pos","3_SD_pos","4_SD_pos","controlGene_median_rank"
"26189680_AvivRegev_Cell_2015_BMDCs_TNF_EX1_Sorting_DC","pass",22491,1,0.97150655200621,1.98531836663814e-30,0.963810332622734,1.20823532995813e-33,11771,0.523364901516162,0,0,10720,0.476635098483838,3.2405,4.21137,0.161131119114312,0.336756924992219,0.473789515806323,0.515672935841003,0.162865146058423,0.326530612244898,0.436619092081277,0.470766084211462,0.0339691432128407
"26189680_AvivRegev_Cell_2015_BMDCs_TNF_EX2_Sorting_DC","pass",22499,1,0.850800341288003,3.51093028738095e-56,0.858567934830821,3.19523957145884e-55,11230,0.499133294813103,0,0,11269,0.500866705186897,1.75222,2.73815,0.262722787679452,0.416996310947153,0.472243210809369,0.490466242944131,0.268456375838926,0.416551846748744,0.473043246366505,0.492021867638562,0.108738166140717
"26189680_AvivRegev_Cell_2015_BMDCs_TNF_EX3_Sorting_DC","pass",22507,1,0.798372044272075,9.64958669440777e-62,0.875274189456388,5.31899729859266e-53,11386,0.505887057359932,0,0,11121,0.494112942640068,1.13807,1.749122,0.298040609588128,0.437774914471053,0.483271870973475,0.497311947394144,0.252499222464122,0.408095259252677,0.467632292175768,0.486115430754876,0.00797529657439908
"28723893_WNicholasHaining_Nature_2017_B16F10_GVAX_r1_Invivo_SKCM","pass",2463,1,0.753272367205242,2.29311713891658e-39,0.841306669507265,2.27468096400588e-33,1230,0.499390986601705,0,0,1233,0.500609013398295,0.878634,1.490458,0.329273244011368,0.446609825416159,0.479496548924076,0.489240763296793,0.289890377588307,0.42793341453512,0.473406414941129,0.490052781161186,0.0235485180673975
"28723893_WNicholasHaining_Nature_2017_B16F10_GVAX_r2_Invivo_SKCM","pass",2464,1,0.759807453893548,1.20275011111162e-38,0.853029427046213,1.1109868689843e-32,1204,0.488636363636364,0,0,1260,0.511363636363636,0.739091000000001,1.150433,0.326298701298701,0.433847402597403,0.469155844155844,0.480113636363636,0.275568181818182,0.428165584415584,0.484172077922078,0.503246753246753,0.00831980519480519
"28723893_WNicholasHaining_Nature_2017_B16F10_GVAX_r3_Invivo_SKCM","pass",2466,1,0.745619009308211,5.60891078345415e-39,0.84695990118387,1.23260423136688e-33,1168,0.473641524736415,0,0,1298,0.526358475263585,0.6947475,1.144735,0.319140308191403,0.427007299270073,0.452960259529603,0.464720194647202,0.300486618004866,0.442011354420114,0.495944849959448,0.515815085158151,0.0115571776155718
"28723893_WNicholasHaining_Nature_2017_B16F10_GVAX_r4_Invivo_SKCM","pass",2461,1,0.749104770861807,2.14041744745567e-39,0.815730520365862,1.59684111237535e-35,1214,0.493295408370581,0,0,1247,0.506704591629419,0.64399,1.06892,0.320601381552215,0.440471353108493,0.47338480292564,0.485168630637952,0.304754164973588,0.432344575375863,0.4819179195449,0.498171475010158,0.00548557496952458
"28723893_WNicholasHaining_Nature_2017_B16F10_GVAX+aPD1_r1_Invivo_SKCM","pass",2462,1,0.779578421993043,8.43161797349197e-38,0.838765280171808,1.52741580458006e-33,1232,0.500406173842405,0,0,1230,0.499593826157595,0.995560000000001,1.564058,0.308692120227457,0.439480097481722,0.480503655564582,0.4910641754671,0.284321689683184,0.426076360682372,0.471161657189277,0.490658001624695,0.00731112916328188
"28723893_WNicholasHaining_Nature_2017_B16F10_GVAX+aPD1_r2_Invivo_SKCM","pass",2463,1,0.690072210948542,1.69742961315392e-42,0.835298506666186,5.06454934252227e-34,1216,0.493706861550954,0,0,1247,0.506293138449046,0.783382,1.2619,0.347543645960211,0.447827852212749,0.476654486398701,0.484774665042631,0.291108404384896,0.430775477060495,0.484368656110434,0.49654892407633,0.0156313438895656
"28723893_WNicholasHaining_Nature_2017_B16F10_GVAX+aPD1_r3_Invivo_SKCM","pass",2466,1,0.723606206793632,1.2188772381265e-40,0.802846599902622,1.22701196286073e-36,1203,0.487834549878346,0,0,1263,0.512165450121654,0.780875,1.440165,0.329683698296837,0.444038929440389,0.469991889699919,0.478507704785077,0.304541768045418,0.450932684509327,0.48742903487429,0.501622060016221,0.0113544201135442
